'hood	noun. (slang) a neighborhood
abdicator	noun. one who formally relinquishes an office or responsibility
abdomen	noun. the region of the body of a vertebrate between the thorax and the pelvis | noun. the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
abdominal	noun. the muscles of the abdomen | adjective. of or relating to or near the abdomen
abdominal actinomycosis	noun. a serious form of actinomycosis that affects the abdomen
abdominal aorta	noun. a branch of the descending aorta
abdominal aortic aneurysm	noun. an aneurysm of the abdominal aorta associated with old age and hypertension
abdominal breathing	noun. breathing in which most of the respiratory effort is done by the abdominal muscles
abdominal cavity	noun. the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
abdominal delivery	noun. the delivery of a fetus by surgical incision through the abdominal wall and uterus (from the belief that Julius Caesar was born that way)
abdominal external oblique muscle	noun. a diagonally arranged abdominal muscle on either side of the torso
abdominal muscle	noun. the muscles of the abdomen
abdominal nerve plexus	noun. a large plexus of sympathetic nerves in the abdomen behind the stomach
abdominal pregnancy	noun. ectopic pregnancy in the abdominal cavity
abdominal wall	noun. a wall of the abdomen
abdominocentesis	noun. centesis of the belly to remove fluid for diagnosis
abdominoplasty	noun. cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach
abdominous	adjective. having a large belly
abdominousness	noun. the bodily property of a protruding belly
abdominovesical	adjective. of or relating to the abdomen and the urinary bladder
abduce	verb. advance evidence for
abducens	noun. a small motor nerve supplying the lateral rectus muscle of the eye
abducens muscle	noun. the ocular muscle whose contraction turns the eyeball outward
abducens nerve	noun. a small motor nerve supplying the lateral rectus muscle of the eye
abducent	noun. a small motor nerve supplying the lateral rectus muscle of the eye | adjective. especially of muscles; drawing away from the midline of the body or from an adjacent part
abducent nerve	noun. a small motor nerve supplying the lateral rectus muscle of the eye
abduct	verb. take away to an undisclosed location against their will and usually in order to extract a ransom | verb. pull away from the body
abducting	adjective. especially of muscles; drawing away from the midline of the body or from an adjacent part
abduction	noun. the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife | noun. (physiology) moving of a body part away from the central axis of the body
abductor	noun. someone who unlawfully seizes and detains a victim (usually for ransom) | noun. a muscle that draws a body part away from the median line
abductor muscle	noun. a muscle that draws a body part away from the median line
abeam	adverb. at right angles to the length of a ship or airplane
abecedarian	noun. a novice learning the rudiments of some subject | noun. a 16th century sect of Anabaptists centered in Germany who had an absolute disdain for human knowledge | adjective. alphabetically arranged (as for beginning readers)
abecedarius	noun. a poem having lines beginning with letters of the alphabet in regular order
abed	adverb. in bed
abel	noun. Norwegian mathematician (1802-1829) | noun. (Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Abel was killed by Cain
abel janszoon tasman	noun. Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
abel tasman	noun. Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
abelard	noun. French philosopher and theologian; lover of Heloise (1079-1142)
abele	noun. a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
abelia	noun. any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers; Asia and Mexico
abelian group	noun. a group that satisfies the commutative law
abelmoschus	noun. genus of tropical coarse herbs having large lobed leaves and often yellow flowers
abelmoschus esculentus	noun. tall coarse annual of Old World tropics widely cultivated in southern United States and West Indies for its long mucilaginous green pods used as basis for soups and stews; sometimes placed in genus Hibiscus
abelmoschus moschatus	noun. bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus
abelmosk	noun. bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus
abenaki	noun. a member of the Algonquian people of Maine and southern Quebec
aberdare	noun. a mining town in southern Wales
aberdeen	noun. a town in western Washington | noun. a town in northeastern South Dakota | noun. a town in northeastern Maryland
aberdeen angus	noun. black hornless breed from Scotland
aberdonian	adjective. of or relating to Aberdeen
aberrance	noun. a state or condition markedly different from the norm
aberrancy	noun. a state or condition markedly different from the norm
aberrant	noun. one whose behavior departs substantially from the norm of a group | adjective. markedly different from an accepted norm
aberrate	verb. diverge from the expected | verb. diverge or deviate from the straight path; produce aberration
